Entfernung, Mittelwert, Standardabweichung
'10cm', 1.3500053534541132, 0.008085387507154073
'13cm', 1.1790002850575871, 0.005721066328911606
'16cm', 1.0636363465519412, 0.00789317371340795
'19cm', 0.9444090737300754, 0.010073875971292725
'22cm', 0.865982278200152, 0.009296808719924077
'25cm', 0.7884800638347323, 0.0074146944589127935
'28cm', 0.7283648325790706, 0.006146299091912621
'31cm', 0.6893028233155504, 0.007690757534772114
'34cm', 0.6488219185309643, 0.009364716236500682
'37cm', 0.5879131006477448, 0.009826258473823112
'40cm', 0.5465639611515881, 0.00824942927834051
'43cm', 0.5267891000757964, 0.007562918245983675
'46cm', 0.5073604263004224, 0.00703823563598469
'49cm', 0.46895027267924255, 0.006023134061901215
'52cm', 0.44993386088708576, 0.005749312190176554
'55cm', 0.4455742561336706, 0.009795207904357634
'58cm', 0.4298341487373634, 0.004925328892474815
'61cm', 0.4106190052144723, 0.005655231216931875
'64cm', 0.3911496741087206, 0.006452623614083974
'67cm', 0.370827192837361, 0.007901305811476881
'70cm', 0.3709209651629621, 0.00805791492515431
