Zeit;Kanal A
(ms);(mV)

-25,00999905;9,79023100
-25,00499905;9,79023100
-24,99999905;11,18971000
-24,99499905;11,65570000
-24,98999905;13,05518000
-24,98499905;13,05518000
-24,97999905;13,05518000
-24,97499905;13,52116000
-24,96999905;12,58766000
-24,96499905;11,65570000
-24,95999905;12,58766000
-24,95499905;11,65570000
-24,94999905;12,58766000
-24,94499905;12,12168000
-24,93999905;12,12168000
-24,93499905;13,52116000
-24,92999905;13,98714000
-24,92499905;14,45312000
-24,91999905;14,91911000
-24,91499905;15,38509000
-24,90999905;16,31859000
-24,90499905;16,78457000
-24,89999905;17,25055000
-24,89499905;16,78457000
-24,88999905;16,78457000
-24,88499905;17,25055000
-24,87999905;15,38509000
-24,87499906;14,91911000
-24,86999906;13,05518000
-24,86499906;11,65570000
-24,85999906;11,65570000
-24,85499906;10,25621000
-24,84999906;9,32424900
-24,84499906;9,32424900
-24,83999906;9,79023100
-24,83499906;10,25621000
-24,82999906;12,58766000
-24,82499906;12,12168000
-24,81999906;12,58766000
-24,81499906;13,05518000
-24,80999906;13,98714000
-24,80499906;15,85261000
-24,79999906;16,31859000
-24,79499906;17,25055000
-24,78999906;16,31859000
-24,78499906;14,91911000
-24,77999906;13,52116000
-24,77499906;12,58766000
-24,76999906;9,79023100
-24,76499906;9,79023100
-24,75999906;7,92630300
-24,75499906;6,06083900
-24,74999906;5,59485700
-24,74499906;4,19537400
-24,73999906;2,32990900
-24,73499906;2,32990900
-24,72999906;2,79742800
-24,72499906;4,19537400
-24,71999906;4,66135500
-24,71499906;4,66135500
-24,70999906;5,12733700
-24,70499906;5,59485700
-24,69999906;6,06083900
-24,69499906;6,06083900
-24,68999906;5,12733700
-24,68499906;5,12733700
-24,67999906;5,59485700
-24,67499906;5,59485700
-24,66999906;3,26341000
-24,66499906;3,26341000
-24,65999906;2,32990900
-24,65499906;2,32990900
-24,64999906;2,32990900
-24,64499906;2,32990900
-24,63999906;1,86392700
-24,63499906;2,32990900
-24,62999906;2,32990900
