Zeit;Kanal A
(ms);(mV)

-25.00549905;-5.22207200
-25.00049905;-6.15403500
-24.99549905;-7.46001400
-24.99049905;-9.69795700
-24.98549905;-9.88435100
-24.98049905;-11.93590000
-24.97549905;-12.30869000
-24.97049905;-12.86848000
-24.96549905;-12.68209000
-24.96049905;-13.61467000
-24.95549905;-11.93590000
-24.95049905;-12.49569000
-24.94549905;-12.86848000
-24.94049905;-12.30869000
-24.93549905;-12.12229000
-24.93049905;-10.44414000
-24.92549905;-10.63054000
-24.92049905;-10.81693000
-24.91549905;-8.01919300
-24.91049905;-6.90022100
-24.90549905;-6.15403500
-24.90049905;-5.59485700
-24.89549905;-5.22207200
-24.89049905;-5.03506400
-24.88549905;-5.22207200
-24.88049905;-4.28949300
-24.87549905;-4.66227800
-24.87049906;-4.28949300
-24.86549906;-3.35691400
-24.86049906;-2.42433500
-24.85549906;-2.23794300
-24.85049906;-1.67815000
-24.84549906;0.74557080
-24.84049906;1.11897100
-24.83549906;2.42433500
-24.83049906;2.79712100
-24.82549906;4.10248500
-24.82049906;4.10248500
-24.81549906;4.66227800
-24.81049906;3.72970000
-24.80549906;4.66227800
-24.80049906;3.35691400
-24.79549906;4.84867100
-24.79049906;3.35691400
-24.78549906;4.66227800
-24.78049906;4.66227800
-24.77549906;3.91609200
-24.77049906;5.22207200
-24.76549906;5.22207200
-24.76049906;5.22207200
-24.75549906;6.15403500
-24.75049906;6.71382900
-24.74549906;7.08661400
-24.74049906;8.39259300
-24.73549906;8.95177200
-24.73049906;9.32455600
-24.72549906;9.88435100
-24.72049906;9.69795700
-24.71549906;9.69795700
-24.71049906;8.01919300
-24.70549906;9.51156400
-24.70049906;8.01919300
-24.69549906;8.01919300
-24.69049906;7.46001400
-24.68549906;6.90022100
-24.68049906;5.78125000
-24.67549906;5.96764200
-24.67049906;5.22207200
-24.66549906;4.84867100
-24.66049906;3.91609200
-24.65549906;5.03506400
-24.65049906;4.10248500
-24.64549906;4.28949300
-24.64049906;4.47588600
-24.63549906;3.35691400
